cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
34,9,0,1406982.0,100000002217161100;100000001445848100;100000007647294100;100000002242066100;100000008254576100,"Hypothesis: downstream aggregation/coordination; 0/9 seed, 1 movement/hub signals, 1,406,982 KZT internal turnover. Verify from transactions."
35,8,0,2473417.91,100000004906181100;100000008175078100;100000008675322100;100000000557536100;100000008349740100,"Hypothesis: downstream aggregation/coordination; 0/8 seed, 1 movement/hub signals, 2,473,418 KZT internal turnover. Verify from transactions."
36,8,0,389000.0,100000005507142100;100000002612809100;100000005264874100;100000001825934100;100000002214207100,"Hypothesis: fan-out distribution; 0/8 seed, 2 movement/hub signals, 389,000 KZT internal turnover. Verify from transactions."
37,8,3,4597161.0,100000008637537100;100000001732159100;100000008223661100;100000003404627100;100000008314203100,"Hypothesis: seed-linked coordination/collection; 3/8 seed, 4 movement/hub signals, 4,597,161 KZT internal turnover. Verify from transactions."
38,7,0,143000.0,100000005911352100;100000004508696100;100000000507799100;100000003962994100;100000002217806100,"Hypothesis: downstream aggregation/coordination; 0/7 seed, 3 movement/hub signals, 143,000 KZT internal turnover. Verify from transactions."
39,7,0,3077000.0,100000002241986100;100000001053894100;100000002594214100;100000004047887100;100000001286703100,"Hypothesis: downstream aggregation/coordination; 0/7 seed, 1 movement/hub signals, 3,077,000 KZT internal turnover. Verify from transactions."
40,7,0,1765600.0,100000007392365100;100000007865484100;100000008551752100;100000003631015100;100000004976946100,"Hypothesis: downstream aggregation/coordination; 0/7 seed, 1 movement/hub signals, 1,765,600 KZT internal turnover. Verify from transactions."
41,7,0,1268308.0,100000008011159100;100000006169033100;100000006232642100;100000005754335100;100000003664994100,"Hypothesis: downstream aggregation/coordination; 0/7 seed, 2 movement/hub signals, 1,268,308 KZT internal turnover. Verify from transactions."
42,6,1,1615030.0,100000008659445100;100000008736940100;100000008193577100;100000008751429100;100000005456919100,"Hypothesis: seed-linked coordination/collection; 1/6 seed, 5 movement/hub signals, 1,615,030 KZT internal turnover. Verify from transactions."
43,6,1,1527967.0,100000000580561100;100000007939160100;100000005183943100;100000007930878100;100000003888271100,"Hypothesis: seed-linked coordination/collection; 1/6 seed, 1 movement/hub signals, 1,527,967 KZT internal turnover. Verify from transactions."
44,6,0,2540000.0,100000004479404100;100000004717647100;100000002922000100;100000002659103100;100000001533161100,"Hypothesis: downstream aggregation/coordination; 0/6 seed, 2 movement/hub signals, 2,540,000 KZT internal turnover. Verify from transactions."
45,6,1,275885.0,100000005895525100;100000002462183100;100000005056870100;100000007175718100;100000005807278100,"Hypothesis: fan-out distribution; 1/6 seed, 1 movement/hub signals, 275,885 KZT internal turnover. Verify from transactions."
46,6,0,2534500.0,100000003747133100;100000004722765100;100000005075949100;100000002578653100;100000006527156100,"Hypothesis: fan-out distribution; 0/6 seed, 2 movement/hub signals, 2,534,500 KZT internal turnover. Verify from transactions."
47,6,0,720900.0,100000008761219100;100000006638021100;100000008333492100;100000007472293100;100000002794374100,"Hypothesis: fan-out distribution; 0/6 seed, 1 movement/hub signals, 720,900 KZT internal turnover. Verify from transactions."
48,6,1,383300.0,100000005546031100;100000005547096100;100000004331458100;100000004094958100;100000005363908100,"Hypothesis: seed-linked coordination/collection; 1/6 seed, 4 movement/hub signals, 383,300 KZT internal turnover. Verify from transactions."
49,5,0,1189154.0,100000000291906100;100000000291908100;100000004670388100;100000004691350100;100000004722630100,"Hypothesis: pass-through movement; 0/5 seed, 1 movement/hub signals, 1,189,154 KZT internal turnover. Verify from transactions."
50,5,0,172000.0,100000005031696100;100000004659919100;100000001223977100;100000002700161100;100000008461217100,"Hypothesis: low-signal fragment; 0/5 seed, 0 movement/hub signals, 172,000 KZT internal turnover. Verify from transactions."
51,5,1,2809200.0,100000004135268100;100000008571433100;100000004979498100;100000002738256100;100000007507343100,"Hypothesis: seed-linked coordination/collection; 1/5 seed, 3 movement/hub signals, 2,809,200 KZT internal turnover. Verify from transactions."
52,5,2,108007.0,100000006562026100;100000007347733100;100000008129393100;100000006249740100;100000006831291100,"Hypothesis: fan-out distribution; 2/5 seed, 1 movement/hub signals, 108,007 KZT internal turnover. Verify from transactions."
53,4,0,518000.0,100000002205022100;100000000629812100;100000003163886100;100000001380107100,"Hypothesis: fan-out distribution; 0/4 seed, 1 movement/hub signals, 518,000 KZT internal turnover. Verify from transactions."
54,4,1,1404980.0,100000008601794100;100000001872484100;100000000785800100;100000002459163100,"Hypothesis: seed-linked coordination/collection; 1/4 seed, 3 movement/hub signals, 1,404,980 KZT internal turnover. Verify from transactions."
55,4,0,1595700.0,100000001052945100;100000001131403100;100000004616845100;100000005146665100,"Hypothesis: fan-out distribution; 0/4 seed, 1 movement/hub signals, 1,595,700 KZT internal turnover. Verify from transactions."
56,4,0,832800.0,100000003159641100;100000008625905100;100000001065234100;100000002194320100,"Hypothesis: low-signal fragment; 0/4 seed, 0 movement/hub signals, 832,800 KZT internal turnover. Verify from transactions."
57,4,1,79050.0,100000003148220100;100000006888238100;100000004971871100;100000001852140100,"Hypothesis: low-signal fragment; 1/4 seed, 0 movement/hub signals, 79,050 KZT internal turnover. Verify from transactions."
58,4,0,332709.0,100000002513028100;100000004610802100;100000002516862100;100000004780083100,"Hypothesis: fan-out distribution; 0/4 seed, 1 movement/hub signals, 332,709 KZT internal turnover. Verify from transactions."
59,3,1,450000.0,100000002371751100;100000000769919100;100000007018630100,"Hypothesis: pass-through movement; 1/3 seed, 1 movement/hub signals, 450,000 KZT internal turnover. Verify from transactions."
60,3,0,120000.0,100000001733216100;100000002505277100;100000003221510100,"Hypothesis: low-signal fragment; 0/3 seed, 0 movement/hub signals, 120,000 KZT internal turnover. Verify from transactions."
61,3,0,553830.0,100000003321895100;100000003692843100;100000002371892100,"Hypothesis: low-signal fragment; 0/3 seed, 0 movement/hub signals, 553,830 KZT internal turnover. Verify from transactions."
62,3,1,390167.62,100000002781227100;100000002796853100;100000008522127100,"Hypothesis: seed-linked coordination/collection; 1/3 seed, 1 movement/hub signals, 390,168 KZT internal turnover. Verify from transactions."
63,3,0,1557988.0,100000008258458100;100000004035925100;100000008619159100,"Hypothesis: low-signal fragment; 0/3 seed, 0 movement/hub signals, 1,557,988 KZT internal turnover. Verify from transactions."
64,3,1,450816.0,100000005034574100;100000007283257100;100000004388983100,"Hypothesis: low-signal fragment; 1/3 seed, 0 movement/hub signals, 450,816 KZT internal turnover. Verify from transactions."
65,3,0,627870.0,100000008628231100;100000004666651100;100000005664632100,"Hypothesis: low-signal fragment; 0/3 seed, 0 movement/hub signals, 627,870 KZT internal turnover. Verify from transactions."
66,2,0,761255.0,100000000583220100;100000004586598100,"Hypothesis: low-signal fragment; 0/2 seed, 0 movement/hub signals, 761,255 KZT internal turnover. Verify from transactions."
67,2,1,30000.0,100000003980083100;100000003200071100,"Hypothesis: low-signal fragment; 1/2 seed, 0 movement/hub signals, 30,000 KZT internal turnover. Verify from transactions."
68,2,1,81465.0,100000003865939100;100000005392290100,"Hypothesis: low-signal fragment; 1/2 seed, 0 movement/hub signals, 81,465 KZT internal turnover. Verify from transactions."
69,2,0,78025.0,100000003886323100;100000007749092100,"Hypothesis: downstream aggregation/coordination; 0/2 seed, 1 movement/hub signals, 78,025 KZT internal turnover. Verify from transactions."
70,2,0,584900.0,100000008430691100;100000007330432100,"Hypothesis: low-signal fragment; 0/2 seed, 0 movement/hub signals, 584,900 KZT internal turnover. Verify from transactions."
71,2,0,857500.0,100000008324800100;100000007390016100,"Hypothesis: pass-through movement; 0/2 seed, 1 movement/hub signals, 857,500 KZT internal turnover. Verify from transactions."
72,1,1,0.0,100000000456947100,"Hypothesis: low-signal fragment; 1/1 seed, 0 movement/hub signals, 0 KZT internal turnover. Verify from transactions."
73,1,1,0.0,100000003265658100,"Hypothesis: low-signal fragment; 1/1 seed, 0 movement/hub signals, 0 KZT internal turnover. Verify from transactions."
74,1,1,0.0,100000003349739100,"Hypothesis: low-signal fragment; 1/1 seed, 0 movement/hub signals, 0 KZT internal turnover. Verify from transactions."
75,1,1,0.0,100000003770083100,"Hypothesis: low-signal fragment; 1/1 seed, 0 movement/hub signals, 0 KZT internal turnover. Verify from transactions."
76,1,1,0.0,100000004021459100,"Hypothesis: low-signal fragment; 1/1 seed, 0 movement/hub signals, 0 KZT internal turnover. Verify from transactions."
77,1,1,0.0,100000004174835100,"Hypothesis: low-signal fragment; 1/1 seed, 0 movement/hub signals, 0 KZT internal turnover. Verify from transactions."
78,1,1,0.0,100000005017150100,"Hypothesis: low-signal fragment; 1/1 seed, 0 movement/hub signals, 0 KZT internal turnover. Verify from transactions."
79,1,1,0.0,100000005087431100,"Hypothesis: low-signal fragment; 1/1 seed, 0 movement/hub signals, 0 KZT internal turnover. Verify from transactions."
80,1,1,0.0,100000005235389100,"Hypothesis: low-signal fragment; 1/1 seed, 0 movement/hub signals, 0 KZT internal turnover. Verify from transactions."
81,1,1,0.0,100000005480435100,"Hypothesis: low-signal fragment; 1/1 seed, 0 movement/hub signals, 0 KZT internal turnover. Verify from transactions."
82,1,1,0.0,100000005495722100,"Hypothesis: low-signal fragment; 1/1 seed, 0 movement/hub signals, 0 KZT internal turnover. Verify from transactions."
83,1,1,0.0,100000005550592100,"Hypothesis: low-signal fragment; 1/1 seed, 0 movement/hub signals, 0 KZT internal turnover. Verify from transactions."
84,1,1,0.0,100000005560900100,"Hypothesis: low-signal fragment; 1/1 seed, 0 movement/hub signals, 0 KZT internal turnover. Verify from transactions."
85,1,1,0.0,100000005568407100,"Hypothesis: low-signal fragment; 1/1 seed, 0 movement/hub signals, 0 KZT internal turnover. Verify from transactions."
86,1,1,0.0,100000008117324100,"Hypothesis: low-signal fragment; 1/1 seed, 0 movement/hub signals, 0 KZT internal turnover. Verify from transactions."
87,1,1,0.0,100000008205000100,"Hypothesis: low-signal fragment; 1/1 seed, 0 movement/hub signals, 0 KZT internal turnover. Verify from transactions."
88,1,1,0.0,100000008513251100,"Hypothesis: low-signal fragment; 1/1 seed, 0 movement/hub signals, 0 KZT internal turnover. Verify from transactions."
89,1,1,0.0,100000008669037100,"Hypothesis: low-signal fragment; 1/1 seed, 0 movement/hub signals, 0 KZT internal turnover. Verify from transactions."
90,1,1,0.0,100000008701222100,"Hypothesis: low-signal fragment; 1/1 seed, 0 movement/hub signals, 0 KZT internal turnover. Verify from transactions."
