cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
0,276,1,30013207.389999993,100000008477350100;100000006866783100;100000000437046100;100000002957787100;100000000661912100,"Hypothesis: seed-linked coordination/collection; 1/276 seed, 63 movement/hub signals, 30,013,207 KZT internal turnover. Verify from transactions."
1,270,1,10178044.0,100000002527114100;100000001697501100;100000002733905100;100000002578405100;100000001166289100,"Hypothesis: seed-linked coordination/collection; 1/270 seed, 7 movement/hub signals, 10,178,044 KZT internal turnover. Verify from transactions."
2,142,5,19232090.0,100000003684369100;100000008165763100;100000008748914100;100000007908818100;100000003528285100,"Hypothesis: seed-linked coordination/collection; 5/142 seed, 26 movement/hub signals, 19,232,090 KZT internal turnover. Verify from transactions."
3,129,7,18827962.28,100000003016635100;100000006069103100;100000006518161100;100000004707703100;100000004330371100,"Hypothesis: seed-linked coordination/collection; 7/129 seed, 33 movement/hub signals, 18,827,962 KZT internal turnover. Verify from transactions."
4,127,0,16703584.0,100000008603629100;100000001857829100;100000005140601100;100000002723538100;100000004679953100,"Hypothesis: downstream aggregation/coordination; 0/127 seed, 22 movement/hub signals, 16,703,584 KZT internal turnover. Verify from transactions."
5,127,0,27033142.0,100000008489922100;100000008547948100;100000005413948100;100000008547844100;100000008466579100,"Hypothesis: downstream aggregation/coordination; 0/127 seed, 21 movement/hub signals, 27,033,142 KZT internal turnover. Verify from transactions."
6,126,0,24907250.330000002,100000000331309100;100000000332284100;100000003741418100;100000005665181100;100000006734214100,"Hypothesis: downstream aggregation/coordination; 0/126 seed, 20 movement/hub signals, 24,907,250 KZT internal turnover. Verify from transactions."
7,101,0,5726719.67,100000005704413100;100000008104567100;100000006707582100;100000005473151100;100000005578559100,"Hypothesis: downstream aggregation/coordination; 0/101 seed, 12 movement/hub signals, 5,726,720 KZT internal turnover. Verify from transactions."
8,61,3,8902320.0,100000001616816100;100000004015047100;100000004221668100;100000002692750100;100000002870463100,"Hypothesis: seed-linked coordination/collection; 3/61 seed, 18 movement/hub signals, 8,902,320 KZT internal turnover. Verify from transactions."
9,60,0,15020787.0,100000005514161100;100000005242320100;100000008512827100;100000004424023100;100000003054328100,"Hypothesis: downstream aggregation/coordination; 0/60 seed, 7 movement/hub signals, 15,020,787 KZT internal turnover. Verify from transactions."
10,56,1,10014014.02,100000005782781100;100000001677929100;100000001601320100;100000000267734100;100000000274067100,"Hypothesis: seed-linked coordination/collection; 1/56 seed, 9 movement/hub signals, 10,014,014 KZT internal turnover. Verify from transactions."
11,53,1,5947339.0,100000000343175100;100000003115284100;100000003635170100;100000008730846100;100000003390036100,"Hypothesis: seed-linked coordination/collection; 1/53 seed, 14 movement/hub signals, 5,947,339 KZT internal turnover. Verify from transactions."
12,51,1,2950313.0,100000001899164100;100000004386258100;100000002193259100;100000003265158100;100000004692798100,"Hypothesis: seed-linked coordination/collection; 1/51 seed, 9 movement/hub signals, 2,950,313 KZT internal turnover. Verify from transactions."
13,50,3,4135421.0,100000005074393100;100000008346837100;100000008733194100;100000001236706100;100000000489417100,"Hypothesis: seed-linked coordination/collection; 3/50 seed, 12 movement/hub signals, 4,135,421 KZT internal turnover. Verify from transactions."
14,44,0,10215968.84,100000005933757100;100000004159526100;100000001937767100;100000004500444100;100000002605308100,"Hypothesis: downstream aggregation/coordination; 0/44 seed, 6 movement/hub signals, 10,215,969 KZT internal turnover. Verify from transactions."
15,41,3,4888834.28,100000004156082100;100000005339662100;100000000076451100;100000004820260100;100000008418835100,"Hypothesis: seed-linked coordination/collection; 3/41 seed, 11 movement/hub signals, 4,888,834 KZT internal turnover. Verify from transactions."
16,41,0,5151924.1899999995,100000003242289100;100000008512552100;100000008413748100;100000003178549100;100000006225798100,"Hypothesis: downstream aggregation/coordination; 0/41 seed, 7 movement/hub signals, 5,151,924 KZT internal turnover. Verify from transactions."
17,30,1,4579928.59,100000002838861100;100000006443391100;100000003071930100;100000000190228100;100000006912294100,"Hypothesis: seed-linked coordination/collection; 1/30 seed, 6 movement/hub signals, 4,579,929 KZT internal turnover. Verify from transactions."
18,30,1,6513430.0,100000008546855100;100000006274203100;100000007594394100;100000003854444100;100000001049200100,"Hypothesis: seed-linked coordination/collection; 1/30 seed, 8 movement/hub signals, 6,513,430 KZT internal turnover. Verify from transactions."
19,26,14,2289450.0,100000004403675100;100000005382566100;100000005386383100;100000004041163100;100000008516839100,"Hypothesis: seed-linked coordination/collection; 14/26 seed, 5 movement/hub signals, 2,289,450 KZT internal turnover. Verify from transactions."
20,25,0,7556605.0,100000001887715100;100000008743913100;100000002748532100;100000008758168100;100000008710843100,"Hypothesis: downstream aggregation/coordination; 0/25 seed, 4 movement/hub signals, 7,556,605 KZT internal turnover. Verify from transactions."
21,20,0,617900.0,100000002448088100;100000003154105100;100000000723383100;100000001427082100;100000002185328100,"Hypothesis: downstream aggregation/coordination; 0/20 seed, 5 movement/hub signals, 617,900 KZT internal turnover. Verify from transactions."
22,18,0,3422800.0,100000003701161100;100000002267998100;100000003718221100;100000008137435100;100000004580202100,"Hypothesis: downstream aggregation/coordination; 0/18 seed, 5 movement/hub signals, 3,422,800 KZT internal turnover. Verify from transactions."
23,17,1,21586840.0,100000002224132100;100000001965374100;100000005664922100;100000004603109100;100000004892144100,"Hypothesis: seed-linked coordination/collection; 1/17 seed, 6 movement/hub signals, 21,586,840 KZT internal turnover. Verify from transactions."
24,17,1,2977887.0,100000004007116100;100000001330595100;100000003616818100;100000002731501100;100000004160650100,"Hypothesis: seed-linked coordination/collection; 1/17 seed, 5 movement/hub signals, 2,977,887 KZT internal turnover. Verify from transactions."
25,15,0,850450.0,100000001526235100;100000002472632100;100000005505655100;100000002984403100;100000001788284100,"Hypothesis: downstream aggregation/coordination; 0/15 seed, 5 movement/hub signals, 850,450 KZT internal turnover. Verify from transactions."
26,15,0,3626010.0,100000008461532100;100000000791285100;100000006704530100;100000003470579100;100000002514975100,"Hypothesis: downstream aggregation/coordination; 0/15 seed, 3 movement/hub signals, 3,626,010 KZT internal turnover. Verify from transactions."
27,14,0,1605604.0,100000008213966100;100000007382543100;100000000838385100;100000003001661100;100000008655779100,"Hypothesis: downstream aggregation/coordination; 0/14 seed, 2 movement/hub signals, 1,605,604 KZT internal turnover. Verify from transactions."
28,13,1,1392916.0,100000001380054100;100000006232815100;100000005077484100;100000000703894100;100000001782980100,"Hypothesis: fan-out distribution; 1/13 seed, 2 movement/hub signals, 1,392,916 KZT internal turnover. Verify from transactions."
29,13,0,6748650.0,100000007442518100;100000008258083100;100000000673868100;100000001785161100;100000004673335100,"Hypothesis: downstream aggregation/coordination; 0/13 seed, 2 movement/hub signals, 6,748,650 KZT internal turnover. Verify from transactions."
30,11,0,3784703.0,100000002175422100;100000003004487100;100000003557488100;100000001317336100;100000002710570100,"Hypothesis: downstream aggregation/coordination; 0/11 seed, 2 movement/hub signals, 3,784,703 KZT internal turnover. Verify from transactions."
31,10,0,1929434.85,100000002741024100;100000007629096100;100000007639767100;100000001439416100;100000008680912100,"Hypothesis: downstream aggregation/coordination; 0/10 seed, 3 movement/hub signals, 1,929,435 KZT internal turnover. Verify from transactions."
32,10,0,322010.0,100000008172352100;100000007322059100;100000004552204100;100000001597505100;100000003646145100,"Hypothesis: downstream aggregation/coordination; 0/10 seed, 2 movement/hub signals, 322,010 KZT internal turnover. Verify from transactions."
33,10,0,1727065.0,100000004076740100;100000005519998100;100000004336312100;100000004017410100;100000003934614100,"Hypothesis: downstream aggregation/coordination; 0/10 seed, 4 movement/hub signals, 1,727,065 KZT internal turnover. Verify from transactions."
